Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles,Grand Total
01-Mar-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-Mar-2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
03-Mar-2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
04-Mar-2020,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3
05-Mar-2020,1,0,0,0,1,2,1,0,0,0,0,0,1,0,6
06-Mar-2020,1,0,0,2,2,3,1,0,0,1,0,0,1,0,11
07-Mar-2020,1,0,0,2,2,4,2,0,2,2,0,0,1,0,16
08-Mar-2020,1,0,0,2,2,4,3,0,2,3,0,0,1,0,18
09-Mar-2020,1,0,0,2,2,4,3,0,3,5,0,2,1,0,23
10-Mar-2020,1,0,0,2,2,6,3,0,3,7,0,2,1,0,27
11-Mar-2020,3,2,0,2,2,6,5,0,4,8,0,2,2,0,36
12-Mar-2020,4,2,0,3,6,7,10,0,7,11,0,6,4,0,60
13-Mar-2020,4,3,0,4,6,11,21,0,7,20,0,6,3,0,85
14-Mar-2020,6,5,0,6,6,9,31,1,10,25,0,11,11,0,121
15-Mar-2020,6,7,0,7,10,12,39,2,16,28,0,11,15,0,153
16-Mar-2020,7,7,1,7,10,44,2,20,29,0,15,17,0,171 
